PREGUNTA,A,B,C,D,E,F,RESPUESTA_CORRECTA
"What step does Snowflake recommend when loading data from a stage?","A. Use PURGE when using the COPY INTO  command.","B. Use REMOVE when using the COPY INTO command.","C. Use the LOAD HISTORY function to view the status of loaded files.","D. Use the COPY HISTORY function to update the status of loaded files.","","","A"
"How can a user MINIMIZE Continuous Data Protection costs when using large, high-churn, dimension tables?","A. Create transient tables and periodically copy them to permanent tables.","B. Create temporary tables and periodically copy them to permanent tables.","C. Create regular tables with extended Time Travel and Fail-safe settings.","D. Create regular tables with default Time Travel and Fail-safe settings.","","","A"
"Which Snowsight feature can be used to perform data manipulations and transformations using a programming language?","A. SnowSQL","B. Dashboards","C. Python worksheets","D. Provider Studio","","","C"
"In Snowflake's data security framework, how does column-level security contribute to the protection of sensitive information? (Choose two.)","A. Implementation of column-level security will optimize query performance.","B. Column-level security supports encryption of the entire database.","C. Column-level security ensures that only the table owner can access the data.","D. Column-level security limits access to specific columns within a table based on user privileges.","E. Column-level security allows the application of a masking policy to a column within a table or view.","","D,E"
"How does Snowflake utilize clustering information to improve query performance?","A. It prunes unnecessary micro-partitions based on clustering metadata.","B. It compresses the data within micro-partitions for faster querying.","C. It automatically allocates additional resources to improve query execution.","D. It organizes clustering information to speed-up data retrieval from storage.","","","A"
"How can staged files be removed during data loading once the files have loaded successfully?","A. Use the DROP command.","B. Use the PURGE copy option.","C. Use the FORCE = TRUE parameter.","D. Use the LOAD_UNCERTAIN_FILES copy option.","","","B"
"What objects can be cloned within Snowflake? (Choose two.)","A. Schemas","B. Users","C. External tables","D. Internal named stages","E. External named stages","","A,D"
"What can be used to process unstructured data?","A. External tables","B. The COPY INTO  command","C. External functions","D. Snowpipe","","","C"
"Which type of workload is recommended for Snowpark-optimized virtual warehouses?","A. Workloads with ad hoc analytics","B. Workloads that have large memory requirements","C. Workloads with unpredictable data volumes for each query","D. Workloads that are queried with small table scans and selective filters","","","B"
"What is the benefit of using the STRIP_OUTER_ARRAY parameter with the COPY INTO [table] command when loading data from a JSON file into a table?","A. It flattens multiple arrays into a single array.","B. It removes the outer array structure and loads separate rows of data.","C. It transforms a pivoted table into an array.","D. It tokenizes each data string using the defined delimiters.","","","B"
"A query containing a WHERE clause is running longer than expected. The Query Profile shows that all micro-partitions being scanned. How should this query be optimized?","A. Create a view on the table.","B. Add a clustering key to the table.","C. Add a LIMIT clause to the query.","D. Add a Dynamic Data Masking policy to the table.","","","B"
"Which access control entity in Snowflake can be created as part of a hierarchy within an account?","A. Securable object","B. Role","C. Privilege","D. User","","","B"
"When an object is created in Snowflake, who owns the object?","A. The public role","B. The user's default role","C. The current active primary role","D. The owner of the parent schema","","","C"
"What is the MINIMUM Snowflake edition that must be used in order to see the ACCESS_HISTORY view?","A. Standard","B. Enterprise","C. Business Critical","D. Virtual Private Snowflake (VPS)","","","B"
"Which role is responsible for managing the billing and credit data within Snowflake?","A. ORGADMIN","B. ACCOUNTADMIN","C. SYSADMIN","D. SECURITYADMIN","","","B"
"What can be used to identify the database, schema, stage, and file path to a set of files, and to allow a role that has sufficient privileges on the stage to access the files?","A. A Scoped URL","B. A file URL","C. A pre-signed URL","D. A directory table","","","B"
"Which command is used to remove files from either external cloud storage or an internal stage?","A. DELETE","B. REMOVE","C. TRUNCATE","D. DROP","","","B"
"How does Snowflake recommend defining a clustering key on a high-cardinality column that includes a 15 digit ID numbered column, ID_NUMBER?","A. TRUNC(ID_NUMBER, -6)","B. TRUNC(ID_NUMBER, 5)","C. ID_NUMBER*100","D. TO_CHAR(ID_NUMBER)","","","A"
"While unloading data into a stage, how can the user ensure that the output will be a single file?","A. Use the COPY option FILES=SINGLE.","B. Use the COPY option SINGLE=TRUE.","C. Use the GET option SINGLE=TRUE.","D. Use the GET option FILES=SINGLE.","","",""
"Which query types will have significant performance improvement when run using the search optimization service? (Choose two.)","A. Range searches","B. Equality searches","C. Substring searches","D. Queries with IN predicates","E. Queries with aggregation","",""
"Which Query Profile operator is considered a DML operator?","A. ExternalScan","B. Flatten","C. Merge","D. Sort","","",""
"Masking policies are created at what level in Snowflake?","A. Table","B. Column","C. Schema","D. Database","","",""
"What would cause different results to be returned when running the same query twice?","A. SAMPLE is used and the seed is set.","B. SAMPLE is used and the seed is not set.","C. Fraction-based sampling is used.","D. Fixed-size sampling is used.","","",""
"What are type predicates used for?","A. Extracting data from a VARIANT column","B. Casting a value in a VARIANT column to a particular data type","C. Determining if a value in a VARIANT column is a particular data type","D. Manipulating objects and arrays in a VARIANT column","","",""
"Why would a Snowflake user load JSON data into a VARIANT column instead of a string column?","A. A VARIANT column is more secure than a string column.","B. A VARIANT column compresses data and a string column does not.","C. A VARIANT column can be used to create a data hierarchy and a string column cannot.","D. A VARIANT column will have a better query performance than a string column.","","",""
"How can a 5 GB table be downloaded into a single file MOST efficiently?","A. Keep the default MAX_FILE_SIZE to 16 MB.","B. Set the default MAX_FILE_SIZE to 5 GB.","C. Set the SINGLE parameter to TRUE.","D. Use a regular expression in the stage specifications of the COPY command.","","",""
"Which Snowflake governance feature allows users to assign metadata labels to improve data governance and database access control?","A. Secure functions","B. Secure views","C. Object tagging","D. Row-level security","","",""
"What is the MINIMUM Snowflake edition that supports database replication?","A. Standard","B. Enterprise","C. Business Critical","D. Virtual Private Snowflake (VPS)","","",""
"Which privilege grants the ability to set a column-level security masking policy on a table or view column?","A. APPLY","B. CREATE","C. SET","D. MODIFY","","",""
"When sharing data in Snowflake, what privileges does a Provider need to grant along with a share? (Choose two.)","A. USAGE on the specific tables in the database.","B. MODIFY on the specific tables in the database.","C. SELECT on the specific tables in the database.","D. USAGE on the database and the schema containing the tables to share.","E. OPERATE on the database and the schema containing the tables to share.","",""
